Binário,Char,6T
10111111,┐,10011110 - - + 0 + 0
11000000,└,10011111 - - + 0 0 +
11000001,┴,10100000 - + + 0 - 0
11000010,┬,10100001 + - + - 0 0
11000011,├,10100010 + - + 0 - 0
11000100,─,10100011 + - + 0 0 -
11000101,┼,10100100 - + + 0 0 -
11000110,ã,10100101 + + - - 0 0
11000111,Ã,10100110 + + - 0 - 0
11001000,╚,10100111 + + - 0 0 -
11001001,╔,10101000 - + + - + -
11001010,╩,10101001 + - + + - -
11001011,╦,10101010 + - + - + -
11001100,╠,10101011 + - + - - +
11001101,═,10101100 - + + - - +
11001110,╬,10101101 + + - + - -
11001111,¤,10101110 + + - - + -
11010000,ð,10101111 + + - - - +
11010001,Ð,10110000 + 0 0 0 - 0
11010010,Ê,10110001 0 + 0 - 0 0
11010011,Ë,10110010 0 + 0 0 - 0
11010100,È,10110011 0 + 0 0 0 -
11010101,ı,10110100 + 0 0 0 0 -
11010110,Í,10110101 0 0 + - 0 0
11010111,Î,10110110 0 0 + 0 - 0
11011000,Ï,10110111 0 0 + 0 0 -
11011001,┘,10111000 + 0 0 - + -
11011010,┌,10111001 0 + 0 + - -
11011011,█,10111010 0 + 0 - + -
11011100,▄,10111011 0 + 0 - - +
11011101,¦,10111100 + 0 0 - - +
11011110,Ì,10111101 0 0 + + - -
11011111,▀,10111110 0 0 + - + -
11100000,Ó,10111111 0 0 + - - +
11100001,ß,11000000 - + 0 + - +
11100010,Ô,11000001 0 - + - + +
11100011,Ò,11000010 0 - + + - +
11100100,õ,11000011 0 - + + + -
11100101,Õ,11000100 - + 0 + + -
11100110,µ,11000101 + 0 - - + +
11100111,þ,11000110 + 0 - + - +
11101000,Þ,11000111 + 0 - + + -
11101001,Ú,11001000 - + 0 0 + 0
11101010,Û,11001001 0 - + + 0 0
11101011,Ù,11001010 0 - + 0 + 0
11101100,ý,11001011 0 - + 0 0 +
11101101,Ý,11001100 - + 0 0 0 +
11101110,¯,11001101 + 0 - + 0 0
11101111,´,11001110 + 0 - 0 + 0
